city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
AQP,2021-01-08,Friday,18,AQP4420418,97,101,93,107
AQP,2021-01-08,Friday,19,AQP4420419,168,176,162,185
AQP,2021-01-08,Friday,20,AQP4420420,121,127,117,134
AQP,2021-01-08,Friday,21,AQP4420421,56,59,54,62
AQP,2021-01-08,Friday,22,AQP4420422,14,14,13,15
AQP,2021-01-08,Friday,23,AQP4420423,0,0,0,0
AQP,2021-01-09,Saturday,0,AQP442050,0,0,0,0
AQP,2021-01-09,Saturday,1,AQP442051,0,0,0,0
AQP,2021-01-09,Saturday,2,AQP442052,0,0,0,0
AQP,2021-01-09,Saturday,3,AQP442053,0,0,0,0
AQP,2021-01-09,Saturday,5,AQP442055,0,0,0,0
AQP,2021-01-09,Saturday,6,AQP442056,0,0,0,0
AQP,2021-01-09,Saturday,7,AQP442057,0,0,0,0
AQP,2021-01-09,Saturday,8,AQP442058,5,5,6,6
AQP,2021-01-09,Saturday,9,AQP442059,10,10,11,11
AQP,2021-01-09,Saturday,10,AQP4420510,13,14,14,15
AQP,2021-01-09,Saturday,11,AQP4420511,35,36,39,41
AQP,2021-01-09,Saturday,12,AQP4420512,85,89,94,100
AQP,2021-01-09,Saturday,13,AQP4420513,106,111,118,125
AQP,2021-01-09,Saturday,14,AQP4420514,78,82,87,92
AQP,2021-01-09,Saturday,15,AQP4420515,60,63,67,71
AQP,2021-01-09,Saturday,16,AQP4420516,46,49,52,55
AQP,2021-01-09,Saturday,17,AQP4420517,57,60,63,67
AQP,2021-01-09,Saturday,18,AQP4420518,84,89,94,100
AQP,2021-01-09,Saturday,19,AQP4420519,148,155,164,175
AQP,2021-01-09,Saturday,20,AQP4420520,119,125,133,141
AQP,2021-01-09,Saturday,21,AQP4420521,58,61,64,68
AQP,2021-01-09,Saturday,22,AQP4420522,18,19,20,21
AQP,2021-01-09,Saturday,23,AQP4420523,0,0,0,0
AQP,2021-01-10,Sunday,0,AQP442060,0,0,0,0
AQP,2021-01-10,Sunday,1,AQP442061,0,0,0,0
AQP,2021-01-10,Sunday,2,AQP442062,0,0,0,0
AQP,2021-01-10,Sunday,3,AQP442063,0,0,0,0
AQP,2021-01-10,Sunday,5,AQP442065,0,0,0,0
AQP,2021-01-10,Sunday,6,AQP442066,0,0,0,0
AQP,2021-01-10,Sunday,7,AQP442067,0,0,0,0
AQP,2021-01-10,Sunday,8,AQP442068,11,11,11,13
AQP,2021-01-10,Sunday,9,AQP442069,15,15,15,18
AQP,2021-01-10,Sunday,10,AQP4420610,16,17,17,20
AQP,2021-01-10,Sunday,11,AQP4420611,43,45,45,52
AQP,2021-01-10,Sunday,12,AQP4420612,129,135,134,154
AQP,2021-01-10,Sunday,13,AQP4420613,155,162,162,185
AQP,2021-01-10,Sunday,14,AQP4420614,121,126,126,145
AQP,2021-01-10,Sunday,15,AQP4420615,69,72,72,82
AQP,2021-01-10,Sunday,16,AQP4420616,50,53,53,60
AQP,2021-01-10,Sunday,17,AQP4420617,54,57,57,65
AQP,2021-01-10,Sunday,18,AQP4420618,108,113,113,129
AQP,2021-01-10,Sunday,19,AQP4420619,140,146,146,167
AQP,2021-01-10,Sunday,20,AQP4420620,89,93,93,106
AQP,2021-01-10,Sunday,21,AQP4420621,36,37,37,43
AQP,2021-01-10,Sunday,22,AQP4420622,9,9,9,10
AQP,2021-01-10,Sunday,23,AQP4420623,0,0,0,0
